,film,budget,genres,original_language,popularity,production_companies,release_date,runtime,revenue
4131,Dune,40000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",en,9.261189,"[{'name': 'Dino De Laurentiis Company', 'id': 10308}]",1984-12-14,137.0,
4132,Man of the Year,20000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",en,7.018483,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Morgan Creek Productions', 'id': 10210}]",2006-10-09,115.0,
4133,Narc,6500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,5.20644,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Lions Gate Films', 'id': 35}, {'name': 'Cruise/Wagner Productions', 'id': 44}]",2002-01-14,105.0,
4134,Lords of Dogtown,25000000.0,"[{'id': 18, 'name': 'Drama'}]",en,4.350049,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'TriStar Pictures', 'id': 559}]",2005-06-03,107.0,
4135,Insurgent,110000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,27.887186,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Mandeville Films', 'id': 10227}, {'name': 'Red Wagon Entertainment', 'id': 14440}, {'name': 'NeoReel', 'id': 24097}]",2015-03-18,119.0,
4136,Surviving the Game,7400000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,3.644641,"[{'name': 'New Line Cinema', 'id': 12}]",1994-04-15,96.0,
4137,Bad Moms,20000000.0,"[{'id': 35, 'name': 'Comedy'}]",en,9.362056,"[{'name': 'STX Entertainment', 'id': 47729}, {'name': 'Huayi Brothers Pictures', 'id': 78996}, {'name': 'BillBlock Media', 'id': 90185}]",2016-07-28,100.0,
4138,Love and Death,3000000.0,"[{'id': 36, 'name': 'History'}, {'id': 35, 'name': 'Comedy'}]",en,5.165666,"[{'name': 'United Artists', 'id': 60}]",1975-06-10,85.0,
4139,Lost in Thailand,2200000.0,"[{'id': 35, 'name': 'Comedy'}]",zh,1.789133,"[{'name': 'Enlight Pictures', 'id': 4053}]",2012-12-12,105.0,
4140,Leprechaun,900000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,9.096254,"[{'name': 'Trimark Pictures', 'id': 4063}]",1993-01-08,92.0,
4141,An American Tail,9000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",en,11.928545,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",1986-11-21,80.0,
4142,Mortal Kombat: Annihilation,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",en,6.532498,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Threshold Entertainment', 'id': 4174}]",1997-11-21,95.0,
4143,Joysticks,300000.0,"[{'id': 35, 'name': 'Comedy'}]",en,2.290725,"[{'name': 'Jensen Farley Pictures', 'id': 4664}]",1983-03-04,88.0,
4144,Spring Breakers,5000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,14.830235,"[{'name': 'RabbitBandini Productions', 'id': 8924}, {'name': 'Division Films', 'id': 14036}, {'name': 'Pop Films', 'id': 14531}, {'name': 'Radar Pictures', 'id': 14718}, {'name': 'Muse Productions', 'id': 15231}, {'name': 'MJZ', 'id': 17719}, {'name': ""O' Salvation"", 'id': 26676}, {'name': 'Iconoclast', 'id': 78780}]",2013-01-24,94.0,
4145,Paradise: Love,3600000.0,"[{'id': 18, 'name': 'Drama'}]",de,4.645724,"[{'name': 'Tatfilm', 'id': 20370}, {'name': 'Société Parisienne de Production', 'id': 25522}, {'name': 'Ulrich Seidl Film Produktion GmbH', 'id': 25523}]",2012-04-27,120.0,
4146,Being Charlie,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,2.930694,,2015-09-14,97.0,
4147,Morgan,8000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,12.521071,"[{'name': 'Twentieth Century-Fox', 'id': 3408}, {'name': 'TSG Entertainment', 'id': 22213}]",2016-09-01,92.0,
4148,Basquiat,2962051.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",en,4.797674,"[{'name': 'Miramax', 'id': 53009}, {'name': 'Eleventh Street Production', 'id': 93380}, {'name': 'Jon Kilik', 'id': 93381}]",1996-08-09,108.0,
4149,The Notorious Bettie Page,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,3.678394,"[{'name': 'Killer Films', 'id': 1422}, {'name': 'John Wells Productions', 'id': 1512}, {'name': 'HBO Films', 'id': 7429}]",2005-09-14,91.0,
4150,Baasha,0.0,"[{'id': 28, 'name': 'Action'}]",ta,0.704162,"[{'name': 'Sathya Movies', 'id': 16434}]",1995-01-15,145.0,
4151,Spartan,19250000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,7.364519,"[{'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Signature Pictures', 'id': 2982}, {'name': 'Linson Entertainment', 'id': 4700}, {'name': 'Art Linson Productions', 'id': 8769}, {'name': 'ApolloMedia Distribution', 'id': 16850}, {'name': 'ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I)', 'id': 19951}, {'name': 'QI Quality International GmbH & Co. KG', 'id': 19952}, {'name': 'Spartan Productions (II)', 'id': 53600}]",2004-03-12,102.0,
4152,Pinocchio,2600000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",en,14.202284,"[{'name': 'RKO Radio Pictures', 'id': 6}, {'name': 'Walt Disney Productions', 'id': 3166}]",2040-02-23,88.0,
4153,A Wednesday!,1400000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",hi,3.143929,"[{'name': 'UTV Motion Pictures', 'id': 2320}]",2008-09-05,103.0,
4154,The Dinner Game,12500000.0,"[{'id': 35, 'name': 'Comedy'}]",fr,6.122739,"[{'name': 'Gaumont', 'id': 9}, {'name': 'TPS Cinéma', 'id': 884}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'EFVE', 'id': 11037}]",1998-04-15,80.0,
4155,Tusk,2800000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",en,6.820925,"[{'name': 'Phase 4 Films', 'id': 9081}, {'name': 'Demarest Films', 'id': 13241}, {'name': 'SModcast Pictures', 'id': 13642}, {'name': 'A24', 'id': 41077}]",2014-09-19,102.0,
4156,Road to Nowhere,5000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,1.744659,"[{'name': 'Tigers Den Studios', 'id': 40700}]",2011-04-13,121.0,
4157,Black Lightning,15000000.0,"[{'id': 28, 'name': 'Action'}]",ru,3.931527,"[{'name': 'Bazelevs Production', 'id': 1038}]",2009-12-31,102.0,
4158,The Jewel of the Nile,25000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,10.571841,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'SLM Production Group', 'id': 396}, {'name': 'Stone Group Pictures', 'id': 3470}]",1985-12-04,106.0,
4159,Grown Ups,80000000.0,"[{'id': 35, 'name': 'Comedy'}]",en,23.981251,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Relativity Media', 'id': 7295}]",2010-06-24,102.0,
4160,On Golden Pond,0.0,"[{'id': 18, 'name': 'Drama'}]",en,12.252186,"[{'name': 'Universal Pictures', 'id': 33}]",1981-12-04,109.0,
4161,Purple Rain,7200000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",en,9.190328,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Water', 'id': 76359}, {'name': 'Purple Films', 'id': 76360}]",1984-07-27,111.0,
4162,Curious George,50000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,12.602502,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Universal Animation Studios', 'id': 5556}]",2006-02-10,86.0,
4163,The Duel,10000000.0,"[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}]",en,5.927867,"[{'name': '26 Films', 'id': 2157}, {'name': 'Mandeville Films', 'id': 10227}, {'name': 'Atomic Entertainment', 'id': 26767}, {'name': 'Lionsgate Premiere', 'id': 85885}, {'name': 'Mississippix Studios', 'id': 94187}]",2016-06-24,110.0,
4164,Stand and Deliver,0.0,"[{'id': 18, 'name': 'Drama'}]",en,5.355761,"[{'name': 'Warner Bros.', 'id': 6194}]",1988-03-11,103.0,
4165,Carriers,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,8.153954,"[{'name': 'Paramount Vantage', 'id': 838}, {'name': 'Likely Story', 'id': 1785}, {'name': 'Ivy Boy Productions', 'id': 4482}, {'name': 'This Is That Productions', 'id': 10059}]",2009-09-04,84.0,
4166,Wolf Totem,38000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",zh,6.542647,"[{'name': 'Edko Films', 'id': 10284}, {'name': 'Loull Productions', 'id': 40818}]",2015-02-19,116.0,
4167,Who Killed the Electric Car?,1000000.0,"[{'id': 99, 'name': 'Documentary'}]",en,8.570312,"[{'name': 'Electric Entertainment', 'id': 3241}, {'name': 'Plinyminor', 'id': 4925}, {'name': 'Papercut Films', 'id': 8746}]",2006-08-04,92.0,
4168,Fist of the North Star: Legend of Raoh - Chapter of Death in Love,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}]",ja,1.511957,"[{'name': 'TMS', 'id': 7164}]",2006-03-11,95.0,
4169,Evangelion: 1.0: You Are (Not) Alone,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",ja,6.592907,"[{'name': 'Studio Khara', 'id': 4145}]",2007-09-01,97.0,
4170,A Cure for Wellness,40000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",en,13.28436,"[{'name': 'Studio Babelsberg', 'id': 264}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Twentieth Century Fox', 'id': 7392}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'TSG Entertainment', 'id': 22213}, {'name': 'Blind Wink Productions', 'id': 37381}]",2017-02-15,146.0,
4171,From Paris with Love,52000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,6.885593,"[{'name': 'Apipoulaï', 'id': 1076}, {'name': 'M6 Films', 'id': 1115}, {'name': 'Canal+', 'id': 5358}, {'name': 'TPS Star', 'id': 6586}, {'name': 'Grive Productions', 'id': 6877}, {'name': 'EuropaCorp', 'id': 6896}, {'name': 'M6', 'id': 11261}, {'name': 'W9', 'id': 34774}]",2010-02-05,92.0,
4172,Tim,600000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",en,7.165079,,1979-07-13,109.0,
4173,Buried,1987650.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",en,7.389437,"[{'name': 'Studio 37', 'id': 2577}, {'name': 'Versus Entertainment', 'id': 11564}, {'name': 'The Safran Company', 'id': 11565}, {'name': 'Dark Trick Films', 'id': 11566}]",2010-09-24,94.0,
4174,Dil To Pagal Hai,1300000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",hi,2.161941,"[{'name': 'Yash Raj Films', 'id': 1569}]",1997-10-30,179.0,
4175,Something Wicked This Way Comes,19000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,3.985819,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Bryna Productions', 'id': 611}]",1983-04-29,95.0,
4176,Bipedalism,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",en,0.252171,"[{'name': 'Hubert Bals Fund', 'id': 13413}, {'name': 'Кинокомпания CTB', 'id': 14662}, {'name': 'Никола Фильм', 'id': 93099}]",2005-05-02,90.0,
4177,Charlie and the Chocolate Factory,150000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,22.038405,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'The Zanuck Company', 'id': 80}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Tim Burton Productions', 'id': 8601}, {'name': 'Plan B Entertainment', 'id': 45778}, {'name': 'Theobald Film Productions', 'id': 55512}]",2005-07-13,115.0,
4178,One Chance,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",en,5.89288,"[{'name': 'Diamond Films', 'id': 2912}, {'name': 'Weinstein Company, The', 'id': 7289}, {'name': 'Ascot Elite Entertainment Group', 'id': 26025}]",2013-09-09,103.0,
4179,Flubber,80000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",en,7.016942,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Great Oaks Entertainment', 'id': 2173}]",1997-11-26,93.0,
4180,Mutiny on the Bounty,19000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",en,5.857488,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Arcola Pictures', 'id': 14091}]",2062-11-08,178.0,
4181,Wake Up Sid,3000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",hi,1.710257,,2009-10-02,138.0,
4182,Hot Shots!,26000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",en,11.026793,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1991-07-31,84.0,
4183,One-Eyed Jacks,6000000.0,"[{'id': 37, 'name': 'Western'}, {'id': 28, 'name': 'Action'}]",en,6.945886,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Pennebaker Productions', 'id': 10568}]",2061-03-30,141.0,
4184,A Prayer for the Dying,6000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,2.527521,"[{'name': 'The Samuel Goldwyn Company', 'id': 8888}]",1987-09-11,107.0,
4185,Gettysburg,0.0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",en,6.588347,"[{'name': 'TriStar Television', 'id': 8609}, {'name': 'Esparza / Katz Productions', 'id': 26560}]",1993-10-08,254.0,
4186,The Secret Life of Bees,11000000.0,"[{'id': 12, 'name': 'Adventure'}]",en,6.390463,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': ""Donners' Company"", 'id': 431}, {'name': 'Dune Entertainment III', 'id': 6332}, {'name': 'Overbrook Entertainment', 'id': 12485}]",2008-09-17,114.0,
4187,Fled,25000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",en,3.906949,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",1996-07-19,98.0,
4188,Mad Foxes,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",es,1.857454,"[{'name': 'Balcázar Producciones Cinematográficas', 'id': 30391}, {'name': 'Reflection Film', 'id': 56253}]",1981-01-01,77.0,
4189,Gabo: The Creation of Gabriel Garcia Marquez,0.0,"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}]",es,0.057737,"[{'name': 'Discovery Studios', 'id': 53651}, {'name': 'JWProductions', 'id': 53652}, {'name': 'Caracol', 'id': 53653}]",2015-04-12,90.0,
4190,Bloodsport II,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,3.085207,"[{'name': 'FM Entertainment International N.V.', 'id': 10354}]",1996-03-01,90.0,
4191,The House of Usher,130000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,0.11689,,2007-09-11,80.0,
4192,Wild Wild West,170000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 37, 'name': 'Western'}]",en,9.887602,"[{'name': 'Todman, Simon, LeMasters Productions', 'id': 2507}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Peters Entertainment', 'id': 16774}, {'name': 'Sonnenfeld Josephson Worldwide Entertainment', 'id': 57088}]",1999-06-29,106.0,
4193,Trading Places,40600000.0,"[{'id': 35, 'name': 'Comedy'}]",en,14.285052,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Cinema Group Ventures', 'id': 11142}]",1983-06-07,116.0,
4194,Breach,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 36, 'name': 'History'}]",en,6.885359,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Sidney Kimmel Entertainment', 'id': 737}, {'name': 'Intermedia Films', 'id': 763}, {'name': 'Outlaw Productions', 'id': 889}]",2007-02-12,110.0,
4195,Dance with Me,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",en,7.894516,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Mandalay Entertainment', 'id': 1236}]",1998-08-21,126.0,
4196,Marathon Man,6500000.0,"[{'id': 53, 'name': 'Thriller'}]",en,6.006812,"[{'name': 'Paramount Pictures', 'id': 4}]",1976-10-05,125.0,
4197,Vaali,500000.0,"[{'id': 10749, 'name': 'Romance'}]",en,0.509127,,1999-05-01,157.0,
4198,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,2000000.0,"[{'id': 35, 'name': 'Comedy'}]",en,5.378481,"[{'name': 'United Artists', 'id': 60}]",1972-08-06,88.0,
4199,Get Hard,40000000.0,"[{'id': 35, 'name': 'Comedy'}]",en,8.178015,"[{'name': 'Gary Sanchez Productions', 'id': 4740}, {'name': 'Warner Bros.', 'id': 6194}]",2015-03-26,100.0,
4200,Legend,25000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,11.187833,"[{'name': 'Working Title Films', 'id': 10163}, {'name': 'Cross Creek Pictures', 'id': 10246}, {'name': 'Anton Capital Entertainment (ACE)', 'id': 20664}]",2015-09-09,131.0,
4201,The Mermaid,60720000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",en,5.296052,"[{'name': 'China Film Group', 'id': 5635}]",2016-02-08,93.0,
4202,The Devil's Backbone,4500000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",es,11.111299,"[{'name': 'Producciones Anhelo', 'id': 1102}, {'name': 'Canal+ España', 'id': 9335}, {'name': 'Tequila Gang', 'id': 11628}, {'name': 'El Deseo S.A.', 'id': 11736}, {'name': 'Sogepaq', 'id': 11955}]",2001-04-20,106.0,
4203,Fences,24000000.0,"[{'id': 18, 'name': 'Drama'}]",en,11.599716,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'Bron Creative', 'id': 72933}, {'name': 'MACRO', 'id': 79426}]",2016-12-16,139.0,
4204,The Inbetweeners Movie,0.0,"[{'id': 35, 'name': 'Comedy'}]",en,5.747681,"[{'name': 'Channel 4 Television Corporation', 'id': 15276}]",2011-08-19,97.0,
4205,Akira,8000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 16, 'name': 'Animation'}]",ja,10.888917,"[{'name': 'Bandai Visual Company', 'id': 528}, {'name': 'Toho Company', 'id': 882}, {'name': 'Mainichi Broadcasting System (MBS)', 'id': 3363}, {'name': 'Kodansha', 'id': 6999}, {'name': 'Tokyo Movie Shinsha (TMS)', 'id': 9155}, {'name': 'TMS Entertainment', 'id': 10919}, {'name': 'Akira Committee Company Ltd.', 'id': 10920}, {'name': 'Sumitomo Corporation', 'id': 10921}]",1988-07-16,124.0,
4206,Night at the Museum: Secret of the Tomb,127000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,19.539436,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': '1492 Pictures', 'id': 436}, {'name': '21 Laps Entertainment', 'id': 2575}, {'name': 'Moving Picture Company (MPC)', 'id': 20478}, {'name': 'TSG Entertainment', 'id': 22213}]",2014-12-17,97.0,
4207,Inside Out,175000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",en,23.985587,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Pixar Animation Studios', 'id': 3}]",2015-06-09,94.0,
4208,Sophie's Choice,12000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,15.417202,"[{'name': 'Keith Barish Productions', 'id': 964}, {'name': 'Incorporated Television Company', 'id': 1155}]",1982-12-08,151.0,
4209,The Adjustment Bureau,50200000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",en,9.420301,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Media Rights Capital', 'id': 2531}, {'name': 'Gambit Pictures', 'id': 6933}, {'name': 'Electric Shepherd Productions', 'id': 11834}]",2011-03-03,106.0,
4210,Single White Female,16000000.0,"[{'id': 53, 'name': 'Thriller'}]",en,7.246119,"[{'name': 'Columbia Pictures', 'id': 5}]",1992-08-14,107.0,
4211,Troy,175000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",en,15.387275,"[{'name': 'Plan B Entertainment', 'id': 81}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Nimar Studios', 'id': 7636}, {'name': 'Radiant Productions', 'id': 18990}, {'name': 'Helena Productions', 'id': 19107}, {'name': 'Latina Pictures', 'id': 19108}]",2004-05-13,163.0,
4212,The Time That Remains,6500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10769, 'name': 'Foreign'}]",it,0.635053,"[{'name': 'France 3 Cinéma', 'id': 591}, {'name': 'nazira', 'id': 6610}, {'name': 'Nazira', 'id': 6611}]",2009-08-12,109.0,
4213,Mallrats,6000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",en,8.25547,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gramercy Pictures', 'id': 37}, {'name': 'Alphaville Films', 'id': 11462}, {'name': 'View Askew Productions', 'id': 16934}]",1995-10-20,94.0,
4214,Hannah Arendt,0.0,"[{'id': 18, 'name': 'Drama'}]",de,5.329701,"[{'name': 'MACT Productions', 'id': 393}, {'name': 'Heimatfilm GbR', 'id': 1588}, {'name': ""Les Productions de l'Amour Fou"", 'id': 13025}]",2012-09-11,113.0,
4215,Cavalcade,1180280.0,"[{'id': 18, 'name': 'Drama'}]",en,1.196324,"[{'name': 'Fox Film Corporation', 'id': 5488}]",2033-02-08,110.0,
4216,In Darkness,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",de,3.305712,"[{'name': 'Studio Babelsberg', 'id': 264}, {'name': 'The Harold Greenberg Fund', 'id': 807}, {'name': 'MBB Medienboard Berlin-Brandenburg', 'id': 2025}, {'name': 'Filmförderungsanstalt (FFA)', 'id': 4247}, {'name': 'Schmidtz Katze Filmkollektiv', 'id': 8265}, {'name': 'The Film Works', 'id': 11065}, {'name': 'Deutsche Filmförderfonds (DFFF)', 'id': 11238}, {'name': 'Polski Instytut Sztuki Filmowej', 'id': 11240}, {'name': 'Ontario Media Development Corporation (OMDC)', 'id': 11576}, {'name': 'Mitteldeutsche Medienförderung (MDM)', 'id': 12346}, {'name': 'Cinegate', 'id': 31588}, {'name': 'CinePostproduction', 'id': 32510}, {'name': 'Rogers Telefund', 'id': 55799}, {'name': 'Studio Filmowe Zebra', 'id': 58225}, {'name': 'Mongrel Media', 'id': 64744}, {'name': 'Hessen-Invest Film', 'id': 75951}, {'name': 'Canadian Heritage', 'id': 75952}, {'name': 'Filmissimo', 'id': 75953}]",2011-09-02,145.0,
4217,Superman IV: The Quest for Peace,17000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",en,7.990679,"[{'name': 'Cannon Films', 'id': 4110}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'London-Cannon Films', 'id': 6231}, {'name': 'Golan-Globus Productions', 'id': 13549}]",1987-07-23,90.0,
